Author Handle,ID,Age,Like Count,Fetched On,Action,Text
_54dableeda,C2qvRSRsQvW-comment-20,12w,1,"""2024-05-15 18:59:18""",comment,Glizzy 💯🎋
iam40glockcyou,C2R3XgoOPln,14w,0,"""2024-05-15 18:59:18""",Post,Back & Better Out Now Link In My Bio🔥🆙 #explore
realbleeda_,C2R3XgoOPln-comment-2,14w,5,"""2024-05-15 18:59:18""",comment,🩸🖤 out now
rugerrudy,C2R3XgoOPln-comment-11,14w,5,"""2024-05-15 18:59:18""",comment,🔥🔥🩸
40lidae,C2R3XgoOPln-comment-31,14w,0,"""2024-05-15 18:59:18""",comment,would never change on you🤞🏾
iam40glockcyou,C2ya4pmMexu,12w,0,"""2024-05-15 18:59:18""",Post,First Off Im Not These Rappers🫸🏾 🆓 4G$ #explore
40lidae,C2ya4pmMexu-comment-3,12w,0,"""2024-05-15 18:59:18""",comment,Yk how me and my brudda get🀄️
teenosatan,C2ya4pmMexu-comment-11,12w,0,"""2024-05-15 18:59:18""",comment,Bang🅱️to🩸❤️‍🔥
rugerrudy,C2ya4pmMexu-comment-43,12w,0,"""2024-05-15 18:59:18""",comment,🩸🩸
rugerrudy,C2ya4pmMexu-comment-44,12w,0,"""2024-05-15 18:59:18""",comment,🩸❤️ #FreeAsh
iam40glockcyou,C3CFNHosH8V,11w,0,"""2024-05-15 18:59:18""",Post,🔝 🀄️ I PULL UP LET OFF 60 FR 🆓 @db4lkayjay & @hotboydue 🩸 #explore #TOPOPP
realbleeda_,C3CFNHosH8V-comment-1,11w,3,"""2024-05-15 18:59:18""",comment,🩸🖤
rugerrudy,C3CFNHosH8V-comment-2,11w,0,"""2024-05-15 18:59:18""",comment,🩸❤️
iam40glockcyou,C3Jnr_qsVAb,11w,0,"""2024-05-15 18:59:18""",Post,@_bigglizzyg Ft Me ⛽️ Out Now Turn Me And Bro Up💨 #explore #pickemup
rugerrudy,C3Jnr_qsVAb-comment-3,11w,4,"""2024-05-15 18:59:18""",comment,🔥🔥
40lidae,C3Jnr_qsVAb-comment-4,11w,0,"""2024-05-15 18:59:18""",comment,Yk how we bang🀄️
